date,consumption,station_id
1984-01-01,0.56,5668
1984-01-02,0.54,5668
1984-01-03,0.51,5668
1984-01-04,0.49,5668
1984-01-05,0.46,5668
1984-01-06,0.44,5668
1984-01-07,0.41,5668
1984-01-08,0.39,5668
1984-01-09,0.36,5668
1984-01-10,0.34,5668
1984-01-11,0.31,5668
1984-01-12,0.31,5668
1984-01-13,0.32,5668
1984-01-14,0.32,5668
1984-01-15,0.33,5668
1984-01-16,0.33,5668
1984-01-17,0.34,5668
1984-01-18,0.34,5668
1984-01-19,0.35,5668
1984-01-20,0.35,5668
1984-01-21,0.34,5668
1984-01-22,0.34,5668
1984-01-23,0.33,5668
1984-01-24,0.32,5668
1984-01-25,0.31,5668
1984-01-26,0.31,5668
1984-01-27,0.3,5668
1984-01-28,0.29,5668
1984-01-29,0.28,5668
1984-01-30,0.28,5668
1984-02-01,0.27,5668
1984-02-02,0.27,5668
1984-02-03,0.27,5668
1984-02-04,0.27,5668
1984-02-05,0.27,5668
1984-02-06,0.26,5668
1984-02-07,0.26,5668
1984-02-08,0.26,5668
1984-02-09,0.26,5668
1984-02-10,0.26,5668
1984-02-11,0.26,5668
1984-02-12,0.25,5668
1984-02-13,0.25,5668
1984-02-14,0.25,5668
1984-02-15,0.25,5668
1984-02-16,0.24,5668
1984-02-17,0.24,5668
1984-02-18,0.24,5668
1984-02-19,0.23,5668
1984-02-20,0.23,5668
1984-02-21,0.23,5668
1984-02-22,0.22,5668
1984-02-23,0.22,5668
1984-02-24,0.22,5668
1984-02-25,0.22,5668
1984-02-26,0.21,5668
1984-02-27,0.21,5668
1984-02-28,0.21,5668
1984-02-29,0.2,5668
1984-03-01,0.2,5668
1984-03-02,0.2,5668
1984-03-03,0.19,5668
1984-03-04,0.19,5668
1984-03-05,0.19,5668
1984-03-06,0.19,5668
1984-03-07,0.18,5668
1984-03-08,0.18,5668
1984-03-09,0.18,5668
1984-03-10,0.17,5668
1984-03-11,0.17,5668
1984-03-12,0.17,5668
1984-03-13,0.16,5668
1984-03-14,0.16,5668
1984-03-15,0.16,5668
1984-03-16,0.16,5668
1984-03-17,0.15,5668
1984-03-18,0.15,5668
1984-03-19,0.15,5668
1984-03-20,0.16,5668
1984-03-21,0.16,5668
1984-03-22,0.17,5668
1984-03-23,0.17,5668
1984-03-24,0.17,5668
1984-03-25,0.18,5668
1984-03-26,0.18,5668
1984-03-27,0.18,5668
1984-03-28,0.19,5668
1984-03-29,0.19,5668
1984-03-30,0.2,5668
1984-04-01,0.89,5668
1984-04-02,1.58,5668
1984-04-03,2.27,5668
1984-04-04,2.96,5668
1984-04-05,3.65,5668
1984-04-06,4.34,5668
1984-04-07,5.03,5668
1984-04-08,5.72,5668
1984-04-09,6.41,5668
1984-04-10,7.1,5668
1984-04-11,7.79,5668
1984-04-12,7.71,5668
1984-04-13,7.64,5668
1984-04-14,7.56,5668
1984-04-15,7.49,5668
1984-04-16,7.41,5668
1984-04-17,7.33,5668
1984-04-18,7.26,5668
1984-04-19,7.18,5668
1984-04-20,7.11,5668
1984-04-21,7.03,5668
1984-04-22,6.95,5668
1984-04-23,6.88,5668
1984-04-24,6.8,5668
1984-04-25,6.72,5668
1984-04-26,6.65,5668
1984-04-27,6.57,5668
1984-04-28,6.5,5668
1984-04-29,6.42,5668
1984-04-30,7.23,5668
1984-05-01,8.04,5668
1984-05-02,8.85,5668
1984-05-03,9.66,5668
1984-05-04,10.5,5668
