date,consumption,station_id
1984-01-01,3.58,5348
1984-01-02,3.51,5348
1984-01-03,3.44,5348
1984-01-04,3.37,5348
1984-01-05,3.3,5348
1984-01-06,3.23,5348
1984-01-07,3.16,5348
1984-01-08,3.09,5348
1984-01-09,3.02,5348
1984-01-10,2.96,5348
1984-01-11,2.89,5348
1984-01-12,2.82,5348
1984-01-13,2.75,5348
1984-01-14,2.68,5348
1984-01-15,2.61,5348
1984-01-16,2.53,5348
1984-01-17,2.45,5348
1984-01-18,2.38,5348
1984-01-19,2.3,5348
1984-01-20,2.23,5348
1984-01-21,2.15,5348
1984-01-22,2.07,5348
1984-01-23,2.0,5348
1984-01-24,1.92,5348
1984-01-25,1.85,5348
1984-01-26,1.77,5348
1984-01-27,1.69,5348
1984-01-28,1.62,5348
1984-01-29,1.54,5348
1984-01-30,1.47,5348
1984-02-01,1.38,5348
1984-02-02,1.37,5348
1984-02-03,1.36,5348
1984-02-04,1.36,5348
1984-02-05,1.35,5348
1984-02-06,1.34,5348
1984-02-07,1.33,5348
1984-02-08,1.32,5348
1984-02-09,1.31,5348
1984-02-10,1.3,5348
1984-02-11,1.3,5348
1984-02-12,1.29,5348
1984-02-13,1.28,5348
1984-02-14,1.27,5348
1984-02-15,1.26,5348
1984-02-16,1.24,5348
1984-02-17,1.23,5348
1984-02-18,1.21,5348
1984-02-19,1.2,5348
1984-02-20,1.18,5348
1984-02-21,1.17,5348
1984-02-22,1.15,5348
1984-02-23,1.14,5348
1984-02-24,1.12,5348
1984-02-25,1.11,5348
1984-02-26,1.09,5348
1984-02-27,1.08,5348
1984-02-28,1.06,5348
1984-02-29,1.08,5348
1984-03-01,1.09,5348
1984-03-02,1.11,5348
1984-03-03,1.13,5348
1984-03-04,1.15,5348
1984-03-05,1.16,5348
1984-03-06,1.18,5348
1984-03-07,1.2,5348
1984-03-08,1.21,5348
1984-03-09,1.23,5348
1984-03-10,1.25,5348
1984-03-11,1.27,5348
1984-03-12,1.29,5348
1984-03-13,1.31,5348
1984-03-14,1.33,5348
1984-03-15,1.35,5348
1984-03-16,1.36,5348
1984-03-17,1.38,5348
1984-03-18,1.4,5348
1984-03-19,1.42,5348
1984-03-20,1.44,5348
1984-03-21,1.45,5348
1984-03-22,1.45,5348
1984-03-23,1.46,5348
1984-03-24,1.47,5348
1984-03-25,1.48,5348
1984-03-26,1.48,5348
1984-03-27,1.49,5348
1984-03-28,1.5,5348
1984-03-29,1.5,5348
1984-03-30,1.51,5348
1984-04-01,1.58,5348
1984-04-02,1.61,5348
1984-04-03,1.64,5348
1984-04-04,1.68,5348
1984-04-05,1.71,5348
1984-04-06,1.77,5348
1984-04-07,1.83,5348
1984-04-08,1.9,5348
1984-04-09,1.96,5348
1984-04-10,2.02,5348
1984-04-11,2.1,5348
1984-04-12,2.18,5348
1984-04-13,2.16,5348
1984-04-14,2.34,5348
