date,ice_thickness,snow_height,place,station_id
1984-01-10,44.0,10.0,1,5277
1984-01-20,48.0,13.0,1,5277
1984-01-31,50.0,20.0,1,5277
1984-02-10,48.0,22.0,1,5277
1984-02-20,50.0,20.0,1,5277
1984-02-29,52.0,20.0,1,5277
1984-03-10,49.0,30.0,1,5277
1984-03-20,49.0,31.0,1,5277
1984-03-31,48.0,29.0,1,5277
1984-12-20,28.0,,1,5277
1984-12-31,47.0,,1,5277
1985-01-10,61.0,,1,5277
1985-01-20,70.0,10.0,1,5277
1985-01-31,72.0,8.0,1,5277
1985-02-10,70.0,15.0,1,5277
1985-02-20,73.0,18.0,1,5277
1985-02-28,71.0,20.0,1,5277
1985-03-10,70.0,18.0,1,5277
1985-03-20,75.0,5.0,1,5277
1985-03-31,63.0,,1,5277
1985-12-10,23.0,8.0,1,5277
1985-12-20,38.0,6.0,1,5277
1985-12-31,45.0,10.0,1,5277
1986-01-10,48.0,21.0,1,5277
1986-01-20,53.0,20.0,1,5277
1986-01-31,55.0,21.0,1,5277
1986-02-10,55.0,19.0,1,5277
1986-02-20,59.0,19.0,1,5277
1986-02-28,57.0,15.0,1,5277
1986-03-10,46.0,26.0,1,5277
1986-03-20,36.0,21.0,1,5277
1986-11-20,12.0,,1,5277
1986-11-30,20.0,2.0,1,5277
1986-12-10,22.0,4.0,1,5277
1986-12-20,28.0,3.0,1,5277
1986-12-31,32.0,7.0,1,5277
1987-01-10,40.0,12.0,1,5277
1987-01-20,46.0,13.0,1,5277
1987-01-31,48.0,15.0,1,5277
1987-02-10,44.0,14.0,1,5277
1987-02-20,42.0,13.0,1,5277
1987-02-28,42.0,20.0,1,5277
1987-03-10,56.0,20.0,1,5277
1987-03-20,54.0,15.0,1,5277
1987-03-31,53.0,10.0,1,5277
1987-11-30,20.0,,1,5277
1987-12-10,36.0,,1,5277
1987-12-20,45.0,3.0,1,5277
1987-12-31,49.0,14.0,1,5277
1988-01-10,52.0,12.0,1,5277
1988-01-20,58.0,12.0,1,5277
1988-01-31,60.0,40.0,1,5277
1988-02-10,61.0,32.0,1,5277
1988-02-20,62.0,27.0,1,5277
1988-02-29,62.0,30.0,1,5277
1988-03-10,61.0,30.0,1,5277
1988-03-20,62.0,25.0,1,5277
1988-03-31,62.0,10.0,1,5277
1988-12-10,18.0,10.0,1,5277
1988-12-20,20.0,15.0,1,5277
1988-12-31,30.0,10.0,1,5277
1989-01-10,34.0,10.0,1,5277
1989-01-20,37.0,10.0,1,5277
1989-01-31,42.0,14.0,1,5277
1989-02-10,41.0,13.0,1,5277
1989-02-20,40.0,10.0,1,5277
1989-02-28,40.0,15.0,1,5277
1989-03-10,40.0,14.0,1,5277
1989-03-20,36.0,5.0,1,5277
1989-12-20,18.0,10.0,1,5277
1989-12-31,27.0,16.0,1,5277
1990-01-10,40.0,17.0,1,5277
1990-01-20,45.0,19.0,1,5277
1990-01-31,50.0,18.0,1,5277
1990-02-10,54.0,23.0,1,5277
1990-02-20,54.0,18.0,1,5277
1990-02-28,44.0,38.0,1,5277
1990-03-10,40.0,35.0,1,5277
1990-03-20,32.0,15.0,1,5277
1990-12-10,8.0,10.0,1,5277
1990-12-20,38.0,15.0,1,5277
1990-12-31,38.0,20.0,1,5277
1991-01-10,45.0,20.0,1,5277
1991-01-20,50.0,18.0,1,5277
1991-01-31,55.0,18.0,1,5277
1991-02-05,,,1,5277
1991-02-10,60.0,16.0,1,5277
1991-02-15,,,1,5277
1991-02-20,69.0,16.0,1,5277
1991-02-25,,,1,5277
1991-02-28,69.0,10.0,1,5277
1991-03-05,,,1,5277
1991-03-10,17.0,10.0,1,5277
1991-03-15,,,1,5277
1991-03-20,17.0,4.0,1,5277
1991-03-25,,,1,5277
1991-03-31,,,1,5277
1991-12-05,,,1,5277
1991-12-10,30.0,10.0,1,5277
1991-12-15,,,1,5277
1991-12-20,35.0,15.0,1,5277
1991-12-25,,,1,5277
1991-12-31,40.0,20.0,1,5277
1992-01-05,,,1,5277
1992-01-10,50.0,20.0,1,5277
1992-01-15,,,1,5277
1992-01-20,54.0,21.0,1,5277
1992-01-25,,,1,5277
1992-01-31,56.0,24.0,1,5277
1992-02-05,,,1,5277
1992-02-10,51.0,18.0,1,5277
1992-02-15,,,1,5277
1992-02-20,51.0,15.0,1,5277
1992-02-25,,,1,5277
1992-02-29,51.0,9.0,1,5277
1995-01-05,,,1,5277
1995-01-10,50.0,7.0,1,5277
1995-01-15,,,1,5277
1995-01-20,53.0,7.0,1,5277
1995-01-25,,,1,5277
1995-01-31,60.0,8.0,1,5277
1995-02-05,,,1,5277
1995-02-10,60.0,10.0,1,5277
1995-02-15,,,1,5277
1995-02-20,60.0,12.0,1,5277
1995-02-25,,,1,5277
1995-02-28,60.0,13.0,1,5277
1995-03-05,,,1,5277
1995-03-10,63.0,12.0,1,5277
1995-03-15,,,1,5277
1995-03-20,60.0,,1,5277
1995-03-25,,,1,5277
1995-03-31,45.0,,1,5277
1995-11-25,,,1,5277
1995-11-30,,,1,5277
1995-12-05,,,1,5277
1995-12-10,13.0,8.0,1,5277
1995-12-15,,,1,5277
1995-12-20,28.0,8.0,1,5277
1995-12-25,,,1,5277
1995-12-31,28.0,27.0,1,5277
1996-01-05,,,1,5277
1996-01-10,38.0,20.0,1,5277
1996-01-15,,,1,5277
1996-01-20,43.0,20.0,1,5277
1996-01-25,,,1,5277
1996-01-31,47.0,20.0,1,5277
1996-02-05,,,1,5277
1996-02-10,37.0,20.0,1,5277
1996-02-15,,,1,5277
1996-02-20,44.0,20.0,1,5277
1996-02-25,,,1,5277
1996-02-29,47.0,10.0,1,5277
1996-03-05,,,1,5277
1996-03-10,54.0,1.0,1,5277
1996-03-15,,,1,5277
1996-03-20,45.0,2.0,1,5277
1996-03-25,,,1,5277
1996-03-31,37.0,1.0,1,5277
1996-11-15,,,1,5277
1996-11-20,,,1,5277
1996-11-25,,,1,5277
1996-11-30,,,1,5277
1996-12-05,,,1,5277
1996-12-10,21.0,12.0,1,5277
1996-12-15,,,1,5277
1996-12-20,26.0,23.0,1,5277
1996-12-25,,,1,5277
1996-12-31,30.0,26.0,1,5277
1997-01-05,,,1,5277
1997-01-10,40.0,35.0,1,5277
1997-01-15,,,1,5277
1997-01-20,45.0,40.0,1,5277
1997-01-25,,,1,5277
1997-01-31,48.0,40.0,1,5277
1997-02-05,,,1,5277
1997-02-10,48.0,35.0,1,5277
1997-02-15,,,1,5277
1997-02-20,48.0,25.0,1,5277
1997-02-25,,,1,5277
1997-02-28,48.0,20.0,1,5277
1997-03-05,,,1,5277
1997-03-10,48.0,20.0,1,5277
1997-03-15,,,1,5277
1997-03-20,48.0,17.0,1,5277
1997-03-25,,,1,5277
1997-03-31,25.0,3.0,1,5277
1997-04-05,,,1,5277
1997-11-30,,,1,5277
1997-12-05,,,1,5277
1997-12-10,18.0,6.0,1,5277
1997-12-15,,,1,5277
1997-12-20,19.0,6.0,1,5277
1997-12-25,,,1,5277
1997-12-31,24.0,8.0,1,5277
1998-01-05,,,1,5277
1998-01-10,25.0,8.0,1,5277
1998-01-15,,,1,5277
1998-01-20,42.0,12.0,1,5277
1998-01-25,,,1,5277
1998-01-31,50.0,12.0,1,5277
1998-02-10,52.0,18.0,1,5277
1998-02-20,54.0,25.0,1,5277
1998-02-28,55.0,20.0,1,5277
1998-03-10,40.0,,1,5277
1998-03-20,8.0,,1,5277
1998-11-30,8.0,3.0,1,5277
1998-12-10,25.0,6.0,1,5277
1998-12-20,35.0,10.0,1,5277
1998-12-31,40.0,10.0,1,5277
1999-01-10,40.0,10.0,1,5277
1999-01-20,45.0,13.0,1,5277
1999-01-31,45.0,15.0,1,5277
1999-02-10,45.0,15.0,1,5277
1999-02-20,45.0,18.0,1,5277
1999-02-28,50.0,18.0,1,5277
1999-03-05,,,1,5277
1999-03-10,50.0,20.0,1,5277
1999-03-15,,,1,5277
1999-03-20,55.0,25.0,1,5277
1999-03-25,,,1,5277
1999-03-31,45.0,15.0,1,5277
1999-11-30,10.0,10.0,1,5277
1999-12-10,20.0,7.0,1,5277
1999-12-20,30.0,10.0,1,5277
1999-12-31,35.0,10.0,1,5277
2000-01-05,,,1,5277
2000-01-10,35.0,19.0,1,5277
2000-01-15,,,1,5277
2000-01-20,38.0,23.0,1,5277
2000-01-25,,,1,5277
2000-01-31,40.0,21.0,1,5277
2000-02-05,,,1,5277
2000-02-10,45.0,19.0,1,5277
2000-02-15,,,1,5277
2000-02-20,45.0,15.0,1,5277
2000-02-25,,,1,5277
2000-02-29,45.0,15.0,1,5277
2000-03-05,,,1,5277
2000-03-10,45.0,6.0,1,5277
2000-03-15,,,1,5277
2000-03-20,45.0,5.0,1,5277
2000-03-25,,,1,5277
2000-03-31,38.0,2.0,1,5277
2000-11-20,8.0,,1,5277
2000-11-30,20.0,10.0,1,5277
2000-12-05,,,1,5277
2000-12-10,20.0,1.0,1,5277
2000-12-15,,,1,5277
2000-12-20,25.0,5.0,1,5277
2000-12-25,,,1,5277
2000-12-31,30.0,12.0,1,5277
2001-01-10,40.0,10.0,1,5277
2001-01-20,50.0,15.0,1,5277
2001-01-31,50.0,18.0,1,5277
2001-02-10,50.0,20.0,1,5277
2001-02-20,50.0,20.0,1,5277
2001-02-28,50.0,17.0,1,5277
2001-03-10,38.0,10.0,1,5277
2001-12-10,30.0,,1,5277
2001-12-20,40.0,5.0,1,5277
2001-12-31,40.0,10.0,1,5277
2002-01-10,40.0,10.0,1,5277
2002-01-20,40.0,10.0,1,5277
2002-01-31,40.0,15.0,1,5277
2002-02-10,40.0,15.0,1,5277
2002-02-20,42.0,17.0,1,5277
2002-02-28,42.0,18.0,1,5277
2002-03-10,40.0,10.0,1,5277
2002-03-20,34.0,,1,5277
2002-12-10,25.0,2.0,1,5277
2002-12-20,35.0,3.0,1,5277
2002-12-31,40.0,3.0,1,5277
2003-01-10,43.0,1.0,1,5277
2003-01-20,45.0,10.0,1,5277
2003-01-31,50.0,22.0,1,5277
2003-02-10,50.0,20.0,1,5277
2003-02-20,55.0,20.0,1,5277
2003-02-28,55.0,20.0,1,5277
2003-03-10,45.0,10.0,1,5277
2003-03-20,40.0,,1,5277
2003-03-31,25.0,,1,5277
2003-12-10,32.0,3.0,1,5277
2003-12-20,42.0,4.0,1,5277
2003-12-31,46.0,4.0,1,5277
2004-01-10,46.0,5.0,1,5277
2004-01-20,47.0,14.0,1,5277
2004-01-31,52.0,20.0,1,5277
2004-02-10,45.0,38.0,1,5277
2004-02-20,36.0,30.0,1,5277
2004-02-29,36.0,30.0,1,5277
2004-03-10,25.0,10.0,1,5277
2004-03-20,25.0,10.0,1,5277
2004-12-10,15.0,5.0,1,5277
2004-12-20,25.0,8.0,1,5277
2004-12-31,25.0,18.0,1,5277
2005-01-10,36.0,17.0,1,5277
2005-01-20,41.0,18.0,1,5277
2005-01-31,45.0,20.0,1,5277
2005-02-10,45.0,18.0,1,5277
2005-02-20,46.0,18.0,1,5277
2005-02-28,48.0,28.0,1,5277
2005-03-10,50.0,25.0,1,5277
2005-03-20,50.0,16.0,1,5277
2005-03-31,42.0,12.0,1,5277
2005-12-10,15.0,2.0,1,5277
2005-12-20,24.0,2.0,1,5277
2005-12-31,28.0,2.0,1,5277
2006-01-10,28.0,3.0,1,5277
2006-01-20,45.0,8.0,1,5277
2006-01-31,58.0,8.0,1,5277
2006-02-10,65.0,12.0,1,5277
2006-02-20,70.0,18.0,1,5277
2006-02-28,70.0,25.0,1,5277
2006-03-10,70.0,25.0,1,5277
2006-03-20,70.0,11.0,1,5277
2006-03-31,70.0,10.0,1,5277
2006-11-30,25.0,3.0,1,5277
2006-12-10,25.0,1.0,1,5277
2006-12-20,38.0,1.0,1,5277
2006-12-31,44.0,10.0,1,5277
2007-01-10,56.0,8.0,1,5277
2007-01-20,58.0,8.0,1,5277
2007-01-31,60.0,8.0,1,5277
2007-02-10,60.0,10.0,1,5277
2007-02-20,60.0,14.0,1,5277
2007-02-28,58.0,16.0,1,5277
2007-03-10,56.0,35.0,1,5277
2007-03-20,52.0,42.0,1,5277
2007-11-30,16.0,,1,5277
2007-12-10,18.0,1.0,1,5277
2007-12-20,20.0,1.0,1,5277
2007-12-31,25.0,22.0,1,5277
2008-01-10,26.0,16.0,1,5277
2008-01-20,30.0,16.0,1,5277
2008-01-31,50.0,16.0,1,5277
2008-02-10,65.0,,1,5277
2008-02-20,75.0,,1,5277
2008-02-29,82.0,5.0,1,5277
2008-03-10,80.0,,1,5277
2008-03-20,45.0,,1,5277
2008-11-10,8.0,1.0,1,5277
2008-12-10,10.0,6.0,1,5277
2008-12-20,18.0,10.0,1,5277
2008-12-31,25.0,12.0,1,5277
2009-01-10,25.0,15.0,1,5277
2009-01-20,35.0,24.0,1,5277
2009-01-31,38.0,18.0,1,5277
2009-02-10,42.0,25.0,1,5277
2009-02-20,50.0,38.0,1,5277
2009-02-28,53.0,28.0,1,5277
2009-03-10,40.0,27.0,1,5277
2009-03-20,35.0,32.0,1,5277
2009-03-31,33.0,15.0,1,5277
2009-11-30,30.0,8.0,1,5277
2009-12-10,36.0,10.0,1,5277
2009-12-20,36.0,16.0,1,5277
2009-12-31,40.0,22.0,1,5277
2010-01-10,45.0,25.0,1,5277
2010-01-20,49.0,25.0,1,5277
2010-01-31,55.0,28.0,1,5277
2010-02-10,60.0,26.0,1,5277
2010-02-20,62.0,26.0,1,5277
2010-02-28,64.0,32.0,1,5277
2010-03-10,55.0,46.0,1,5277
2010-03-20,48.0,50.0,1,5277
2010-03-31,42.0,48.0,1,5277
2010-12-10,10.0,10.0,1,5277
2010-12-20,25.0,20.0,1,5277
2010-12-31,32.0,11.0,1,5277
2011-01-10,35.0,18.0,1,5277
2011-01-20,40.0,20.0,1,5277
2011-01-31,45.0,22.0,1,5277
2011-02-10,50.0,24.0,1,5277
2011-02-20,50.0,24.0,1,5277
2011-02-28,55.0,20.0,1,5277
2011-03-10,50.0,16.0,1,5277
