date,ice_thickness,snow_height,place,station_id
1984-01-05,,,1,5016
1984-01-10,74.0,9.0,1,5016
1984-01-15,,,1,5016
1984-01-20,77.0,8.0,1,5016
1984-01-25,,,1,5016
1984-01-31,80.0,11.0,1,5016
1984-02-05,,,1,5016
1984-02-10,85.0,13.0,1,5016
1984-02-15,,,1,5016
1984-02-20,90.0,10.0,1,5016
1984-02-25,,,1,5016
1984-02-29,91.0,13.0,1,5016
1984-03-05,92.0,14.0,1,5016
1984-03-10,93.0,14.0,1,5016
1984-03-15,94.0,13.0,1,5016
1984-03-20,95.0,10.0,1,5016
1984-03-25,95.0,14.0,1,5016
1984-03-31,92.0,16.0,1,5016
1984-04-05,83.0,10.0,1,5016
1984-11-20,17.0,,1,5016
1984-11-25,20.0,,1,5016
1984-11-30,29.0,,1,5016
1984-12-05,34.0,,1,5016
1984-12-10,40.0,,1,5016
1984-12-15,44.0,3.0,1,5016
1984-12-20,48.0,3.0,1,5016
1984-12-25,60.0,3.0,1,5016
1984-12-31,66.0,2.0,1,5016
1985-01-10,90.0,3.0,1,5016
1985-01-20,95.0,7.0,1,5016
1985-01-31,102.0,7.0,1,5016
1985-02-10,106.0,9.0,1,5016
1985-02-20,110.0,22.0,1,5016
1985-02-28,115.0,20.0,1,5016
1985-03-05,117.0,22.0,1,5016
1985-03-10,120.0,31.0,1,5016
1985-03-15,123.0,31.0,1,5016
1985-03-20,123.0,30.0,1,5016
1985-03-25,,,1,5016
1985-03-31,118.0,,1,5016
1985-04-05,113.0,,1,5016
1985-11-30,15.0,0.0,1,5016
1985-12-05,24.0,4.0,1,5016
1985-12-10,34.0,4.0,1,5016
1985-12-15,41.0,5.0,1,5016
1985-12-20,50.0,5.0,1,5016
1985-12-25,59.0,4.0,1,5016
1985-12-31,67.0,4.0,1,5016
1986-01-10,71.0,13.0,1,5016
1986-01-20,75.0,14.0,1,5016
1986-01-31,81.0,13.0,1,5016
1986-02-10,88.0,13.0,1,5016
