date,ice_thickness,snow_height,place,station_id
1984-01-05,,,1,5020
1984-01-10,70.0,5.0,1,5020
1984-01-15,,,1,5020
1984-01-20,78.0,7.0,1,5020
1984-01-25,,,1,5020
1984-01-31,86.0,6.0,1,5020
1984-02-05,,,1,5020
1984-02-10,94.0,14.0,1,5020
1984-02-15,,,1,5020
1984-02-20,96.0,18.0,1,5020
1984-02-25,,,1,5020
1984-02-29,98.0,8.0,1,5020
1984-03-05,97.0,22.0,1,5020
1984-03-10,102.0,24.0,1,5020
1984-03-15,101.0,18.0,1,5020
1984-03-20,104.0,8.0,1,5020
1984-03-25,102.0,18.0,1,5020
1984-03-31,102.0,8.0,1,5020
1984-04-05,102.0,12.0,1,5020
1984-04-10,100.0,7.0,1,5020
1984-04-15,103.0,2.0,1,5020
1984-04-20,101.0,2.0,1,5020
1984-04-25,,,1,5020
1984-11-20,18.0,8.0,1,5020
1984-11-25,30.0,13.0,1,5020
1984-11-30,32.0,11.0,1,5020
1984-12-05,42.0,8.0,1,5020
1984-12-10,48.0,2.0,1,5020
1984-12-15,54.0,6.0,1,5020
1984-12-20,62.0,7.0,1,5020
1984-12-25,68.0,7.0,1,5020
1984-12-31,72.0,4.0,1,5020
1985-01-10,87.0,5.0,1,5020
1985-01-20,96.0,7.0,1,5020
1985-01-31,108.0,14.0,1,5020
1985-02-10,122.0,7.0,1,5020
1985-02-20,124.0,38.0,1,5020
1985-02-28,127.0,14.0,1,5020
1985-03-05,126.0,14.0,1,5020
1985-03-10,125.0,13.0,1,5020
1985-03-15,124.0,8.0,1,5020
1985-03-20,124.0,6.0,1,5020
1985-03-25,127.0,5.0,1,5020
1985-03-31,124.0,,1,5020
1985-04-05,120.0,,1,5020
1985-04-10,118.0,,1,5020
1985-04-15,118.0,,1,5020
1985-12-05,20.0,8.0,1,5020
1985-12-10,31.0,7.0,1,5020
1985-12-15,48.0,8.0,1,5020
1985-12-20,62.0,10.0,1,5020
1985-12-25,68.0,8.0,1,5020
1985-12-31,72.0,12.0,1,5020
1986-01-10,84.0,20.0,1,5020
1986-01-20,88.0,22.0,1,5020
1986-01-31,92.0,12.0,1,5020
1986-02-10,94.0,16.0,1,5020
1986-02-20,102.0,14.0,1,5020
1986-02-28,106.0,18.0,1,5020
1986-03-05,108.0,8.0,1,5020
1986-03-10,112.0,13.0,1,5020
1986-03-15,120.0,10.0,1,5020
1986-03-20,116.0,4.0,1,5020
1986-03-25,118.0,2.0,1,5020
1986-03-31,118.0,0.0,1,5020
1986-04-05,108.0,18.0,1,5020
1986-04-10,112.0,4.0,1,5020
1986-04-15,110.0,0.0,1,5020
1986-04-20,102.0,,1,5020
1986-11-20,20.0,2.0,1,5020
1986-11-25,22.0,2.0,1,5020
1986-11-30,29.0,2.0,1,5020
1986-12-05,42.0,3.0,1,5020
1986-12-10,48.0,5.0,1,5020
1986-12-15,52.0,4.0,1,5020
1986-12-20,54.0,4.0,1,5020
1986-12-25,58.0,7.0,1,5020
1986-12-31,64.0,12.0,1,5020
1987-01-10,74.0,8.0,1,5020
1987-01-20,82.0,12.0,1,5020
