station_id,coords,nameWater,ugmsName,lat,lon,station_num,elevation
5674,POINT (132.8 48.72),Р.ЩУКИНКА 1-Я,ФГБУ Дальневосточное УГМС,48.72,132.8,0,102.0861968994141
5216,POINT (132.01 44.06),Р.АБРАМОBКА,ФГБУ Приморское УГМС,44.06,132.01,1,101.2972717285156
6256,POINT (126.58 52.17),Р.УЛЬМИН,ФГБУ Дальневосточное УГМС,52.17,126.58,2,191.7436218261719
5132,POINT (134.27 44.23),Р.ПАBЛОBКА,ФГБУ Приморское УГМС,44.23,134.27,3,1019.86767578125
5151,POINT (133.04 43.57),Р.АРСЕНЬЕBКА,ФГБУ Приморское УГМС,43.57,133.04,4,578.8972778320312
5458,POINT (136.55 52.8),Р.НИМЕЛЕН,ФГБУ Дальневосточное УГМС,52.8,136.55,5,76.70453643798828
6345,POINT (126.75 53.65),Р.УРКАН(ПРАBЫЙ УРКАН),ФГБУ Дальневосточное УГМС,53.65,126.75,6,228.7274017333984
5280,POINT (134.23 45.08),Р.МАЛИНОBКА,ФГБУ Приморское УГМС,45.08,134.23,7,634.3580932617188
6511,POINT (130.15 49.4),Р.АРХАРА,ФГБУ Дальневосточное УГМС,49.4,130.15,8,111.7632369995117
5358,POINT (134.47 48.7),Р.ТУНГУСКА,ФГБУ Дальневосточное УГМС,48.7,134.47,9,50.22414779663086
5675,POINT (132.47 48.13),Р.СОЛОНЕЧНАЯ,ФГБУ Дальневосточное УГМС,48.13,132.47,10,131.7660522460938
6421,POINT (128.47 50.92),Р.ТОМЬ,ФГБУ Дальневосточное УГМС,50.92,128.47,11,168.3314971923828
6295,POINT (127.6500027777778 50.51666666666667),Р.ЗЕЯ,ФГБУ Дальневосточное УГМС,50.516666666666666,127.65000277777777,12,179.8161163330078
5044,POINT (131.95 47.98),Р.БИДЖАН,ФГБУ Дальневосточное УГМС,47.98,131.95,13,61.72800064086914
5059,POINT (132.92 48.75),Р. БИРА (БОЛЬШАЯ БИРА),ФГБУ Дальневосточное УГМС,48.75,132.92,14,73.33333587646484
